id,trial,condition,condition_char,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct
1,1,1,learn,1,14,14B,0,A,1,B,0
1,2,1,learn,2,4,4B,0,A,1,B,0
1,3,1,learn,3,1,1A,1,B,0,A,0
1,4,1,learn,4,13,13B,0,A,1,B,0
1,5,1,learn,5,6,6A,1,B,0,A,0
1,6,1,learn,6,11,11A,1,B,0,A,0
1,7,1,learn,7,3,3B,0,A,1,B,0
1,8,1,learn,8,16,16A,0,A,0,A,1
1,9,1,learn,9,4,4B,1,B,1,B,1
1,10,1,learn,10,11,11A,0,A,0,A,1
1,11,1,learn,11,6,6A,0,A,0,A,1
1,12,1,learn,12,1,1A,0,A,0,A,1
1,13,1,learn,13,14,14B,1,B,1,B,1
1,14,1,learn,14,3,3B,0,A,1,B,0
1,15,1,learn,15,16,16A,1,B,0,A,0
1,16,1,learn,16,13,13B,1,B,1,B,1
1,17,1,learn,17,16,16A,1,B,0,A,0
1,18,1,learn,18,4,4B,0,A,1,B,0
1,19,1,learn,19,14,14B,0,A,1,B,0
1,20,1,learn,20,11,11A,1,B,0,A,0
1,21,1,learn,21,1,1A,1,B,0,A,0
1,22,1,learn,22,3,3B,1,B,1,B,1
1,23,1,learn,23,6,6A,1,B,0,A,0
1,24,1,learn,24,13,13B,1,B,1,B,1
1,25,1,learn,25,14,14B,0,A,1,B,0
1,26,1,learn,26,16,16A,1,B,0,A,0
1,27,1,learn,27,6,6A,1,B,0,A,0
1,28,1,learn,28,13,13B,0,A,1,B,0
1,29,1,learn,29,11,11A,1,B,0,A,0
1,30,1,learn,30,4,4B,0,A,1,B,0
1,31,1,learn,31,1,1A,1,B,0,A,0
1,32,1,learn,32,3,3B,0,A,1,B,0
1,33,2,transfer,33,10,10T,0,A,NA,NA,NA
1,34,2,transfer,33,15,15T,1,B,NA,NA,NA
1,35,2,transfer,33,1,1A,1,B,NA,NA,NA
1,36,2,transfer,33,13,13B,0,A,NA,NA,NA
1,37,2,transfer,33,5,5T,1,B,NA,NA,NA
1,38,2,transfer,33,2,2T,1,B,NA,NA,NA
1,39,2,transfer,33,9,9T,1,B,NA,NA,NA
1,40,2,transfer,33,6,6A,0,A,NA,NA,NA
1,41,2,transfer,33,8,8T,0,A,NA,NA,NA
1,42,2,transfer,33,14,14B,1,B,NA,NA,NA
1,43,2,transfer,33,7,7T,0,A,NA,NA,NA
1,44,2,transfer,33,11,11A,1,B,NA,NA,NA
1,45,2,transfer,33,16,16A,1,B,NA,NA,NA
1,46,2,transfer,33,3,3B,0,A,NA,NA,NA
1,47,2,transfer,33,12,12T,0,A,NA,NA,NA
1,48,2,transfer,33,4,4B,0,A,NA,NA,NA
1,49,1,learn,34,6,6A,1,B,0,A,0
1,50,1,learn,35,4,4B,0,A,1,B,0
1,51,1,learn,36,13,13B,1,B,1,B,1
1,52,1,learn,37,3,3B,0,A,1,B,0
1,53,1,learn,38,11,11A,1,B,0,A,0
1,54,1,learn,39,16,16A,1,B,0,A,0
1,55,1,learn,40,1,1A,0,A,0,A,1
1,56,1,learn,41,14,14B,1,B,1,B,1
1,57,1,learn,42,6,6A,1,B,0,A,0
1,58,1,learn,43,3,3B,0,A,1,B,0
1,59,1,learn,44,16,16A,1,B,0,A,0
1,60,1,learn,45,14,14B,1,B,1,B,1
1,61,1,learn,46,4,4B,0,A,1,B,0
1,62,1,learn,47,1,1A,0,A,0,A,1
1,63,1,learn,48,13,13B,1,B,1,B,1
1,64,1,learn,49,11,11A,0,A,0,A,1
1,65,1,learn,50,3,3B,0,A,1,B,0
1,66,1,learn,51,16,16A,0,A,0,A,1
1,67,1,learn,52,14,14B,1,B,1,B,1
1,68,1,learn,53,13,13B,1,B,1,B,1
1,69,1,learn,54,4,4B,0,A,1,B,0
1,70,1,learn,55,6,6A,1,B,0,A,0
1,71,1,learn,56,11,11A,0,A,0,A,1
1,72,1,learn,57,1,1A,0,A,0,A,1
1,73,1,learn,58,6,6A,0,A,0,A,1
1,74,1,learn,59,16,16A,0,A,0,A,1
1,75,1,learn,60,13,13B,1,B,1,B,1
1,76,1,learn,61,1,1A,0,A,0,A,1
1,77,1,learn,62,11,11A,1,B,0,A,0
1,78,1,learn,63,4,4B,0,A,1,B,0
1,79,1,learn,64,14,14B,1,B,1,B,1
1,80,1,learn,65,3,3B,1,B,1,B,1
1,81,2,transfer,66,9,9T,0,A,NA,NA,NA
1,82,2,transfer,66,14,14B,0,A,NA,NA,NA
1,83,2,transfer,66,11,11A,0,A,NA,NA,NA
1,84,2,transfer,66,5,5T,1,B,NA,NA,NA
1,85,2,transfer,66,7,7T,0,A,NA,NA,NA
1,86,2,transfer,66,6,6A,1,B,NA,NA,NA
1,87,2,transfer,66,8,8T,1,B,NA,NA,NA
1,88,2,transfer,66,3,3B,0,A,NA,NA,NA
1,89,2,transfer,66,2,2T,1,B,NA,NA,NA
1,90,2,transfer,66,4,4B,1,B,NA,NA,NA
1,91,2,transfer,66,1,1A,0,A,NA,NA,NA
1,92,2,transfer,66,10,10T,1,B,NA,NA,NA
1,93,2,transfer,66,13,13B,1,B,NA,NA,NA
1,94,2,transfer,66,15,15T,1,B,NA,NA,NA
1,95,2,transfer,66,12,12T,0,A,NA,NA,NA
1,96,2,transfer,66,16,16A,0,A,NA,NA,NA
1,97,1,learn,67,4,4B,0,A,1,B,0
1,98,1,learn,68,13,13B,1,B,1,B,1
1,99,1,learn,69,14,14B,1,B,1,B,1
1,100,1,learn,70,1,1A,0,A,0,A,1
1,101,1,learn,71,6,6A,1,B,0,A,0
1,102,1,learn,72,3,3B,1,B,1,B,1
1,103,1,learn,73,11,11A,1,B,0,A,0
1,104,1,learn,74,16,16A,1,B,0,A,0
1,105,1,learn,75,3,3B,0,A,1,B,0
1,106,1,learn,76,1,1A,0,A,0,A,1
1,107,1,learn,77,4,4B,1,B,1,B,1
1,108,1,learn,78,6,6A,0,A,0,A,1
1,109,1,learn,79,16,16A,1,B,0,A,0
1,110,1,learn,80,13,13B,1,B,1,B,1
1,111,1,learn,81,14,14B,1,B,1,B,1
1,112,1,learn,82,11,11A,1,B,0,A,0
1,113,1,learn,83,16,16A,1,B,0,A,0
1,114,1,learn,84,14,14B,1,B,1,B,1
1,115,1,learn,85,6,6A,0,A,0,A,1
1,116,1,learn,86,11,11A,0,A,0,A,1
1,117,1,learn,87,13,13B,1,B,1,B,1
1,118,1,learn,88,4,4B,1,B,1,B,1
1,119,1,learn,89,1,1A,0,A,0,A,1
1,120,1,learn,90,3,3B,0,A,1,B,0
1,121,1,learn,91,6,6A,1,B,0,A,0
1,122,1,learn,92,14,14B,1,B,1,B,1
1,123,1,learn,93,11,11A,0,A,0,A,1
1,124,1,learn,94,4,4B,1,B,1,B,1
1,125,1,learn,95,13,13B,0,A,1,B,0
1,126,1,learn,96,1,1A,1,B,0,A,0
1,127,1,learn,97,3,3B,0,A,1,B,0
1,128,1,learn,98,16,16A,0,A,0,A,1
1,129,2,transfer,99,7,7T,1,B,NA,NA,NA
1,130,2,transfer,99,6,6A,1,B,NA,NA,NA
1,131,2,transfer,99,12,12T,1,B,NA,NA,NA
1,132,2,transfer,99,8,8T,1,B,NA,NA,NA
1,133,2,transfer,99,4,4B,1,B,NA,NA,NA
1,134,2,transfer,99,13,13B,0,A,NA,NA,NA
1,135,2,transfer,99,10,10T,1,B,NA,NA,NA
1,136,2,transfer,99,9,9T,1,B,NA,NA,NA
1,137,2,transfer,99,5,5T,0,A,NA,NA,NA
1,138,2,transfer,99,1,1A,0,A,NA,NA,NA
1,139,2,transfer,99,16,16A,0,A,NA,NA,NA
