id,trial,condition,condition_char,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct
4,1,1,learn,1,5,5B,0,A,1,B,0
4,2,1,learn,2,7,7A,1,B,0,A,0
4,3,1,learn,3,12,12A,1,B,0,A,0
4,4,1,learn,4,10,10A,1,B,1,B,1
4,5,1,learn,5,14,14B,0,A,1,B,0
4,6,1,learn,6,15,15B,1,B,1,B,1
4,7,1,learn,7,3,3A,1,B,0,A,0
4,8,1,learn,8,2,2A,0,A,0,A,1
4,9,1,learn,9,12,12A,1,B,0,A,0
4,10,1,learn,10,5,5B,0,A,1,B,0
4,11,1,learn,11,7,7A,0,A,0,A,1
4,12,1,learn,12,3,3A,1,B,0,A,0
4,13,1,learn,13,10,10A,1,B,1,B,1
4,14,1,learn,14,14,14B,1,B,1,B,1
4,15,1,learn,15,15,15B,1,B,1,B,1
4,16,1,learn,16,2,2A,0,A,0,A,1
4,17,1,learn,17,12,12A,1,B,0,A,0
4,18,1,learn,18,3,3A,1,B,0,A,0
4,19,1,learn,19,15,15B,0,A,1,B,0
4,20,1,learn,20,10,10A,0,A,1,B,0
4,21,1,learn,21,2,2A,0,A,0,A,1
4,22,1,learn,22,7,7A,1,B,0,A,0
4,23,1,learn,23,5,5B,0,A,1,B,0
4,24,1,learn,24,14,14B,0,A,1,B,0
4,25,1,learn,25,12,12A,0,A,0,A,1
4,26,1,learn,26,10,10A,1,B,1,B,1
4,27,1,learn,27,2,2A,1,B,0,A,0
4,28,1,learn,28,7,7A,1,B,0,A,0
4,29,1,learn,29,5,5B,1,B,1,B,1
4,30,1,learn,30,15,15B,0,A,1,B,0
4,31,1,learn,31,14,14B,1,B,1,B,1
4,32,1,learn,32,3,3A,0,A,0,A,1
4,33,2,transfer,33,13,13T,1,B,NA,NA,NA
4,34,2,transfer,33,6,6T,0,A,NA,NA,NA
4,35,2,transfer,33,10,10A,0,A,NA,NA,NA
4,36,2,transfer,33,11,11T,0,A,NA,NA,NA
4,37,2,transfer,33,16,16T,0,A,NA,NA,NA
4,38,2,transfer,33,9,9T,1,B,NA,NA,NA
4,39,2,transfer,33,8,8T,1,B,NA,NA,NA
4,40,2,transfer,33,2,2A,1,B,NA,NA,NA
4,41,2,transfer,33,4,4T,0,A,NA,NA,NA
4,42,2,transfer,33,1,1T,1,B,NA,NA,NA
4,43,2,transfer,33,14,14B,0,A,NA,NA,NA
4,44,2,transfer,33,5,5B,0,A,NA,NA,NA
4,45,2,transfer,33,7,7A,1,B,NA,NA,NA
4,46,2,transfer,33,3,3A,1,B,NA,NA,NA
4,47,2,transfer,33,12,12A,0,A,NA,NA,NA
4,48,2,transfer,33,15,15B,0,A,NA,NA,NA
4,49,1,learn,34,2,2A,1,B,0,A,0
4,50,1,learn,35,14,14B,1,B,1,B,1
4,51,1,learn,36,15,15B,0,A,1,B,0
4,52,1,learn,37,5,5B,0,A,1,B,0
4,53,1,learn,38,3,3A,0,A,0,A,1
4,54,1,learn,39,7,7A,0,A,0,A,1
4,55,1,learn,40,12,12A,0,A,0,A,1
4,56,1,learn,41,10,10A,1,B,1,B,1
4,57,1,learn,42,3,3A,0,A,0,A,1
4,58,1,learn,43,5,5B,1,B,1,B,1
4,59,1,learn,44,15,15B,0,A,1,B,0
4,60,1,learn,45,14,14B,1,B,1,B,1
4,61,1,learn,46,12,12A,1,B,0,A,0
4,62,1,learn,47,7,7A,0,A,0,A,1
4,63,1,learn,48,10,10A,1,B,1,B,1
4,64,1,learn,49,2,2A,0,A,0,A,1
4,65,1,learn,50,7,7A,1,B,0,A,0
4,66,1,learn,51,12,12A,1,B,0,A,0
4,67,1,learn,52,5,5B,0,A,1,B,0
4,68,1,learn,53,14,14B,1,B,1,B,1
4,69,1,learn,54,2,2A,1,B,0,A,0
4,70,1,learn,55,3,3A,1,B,0,A,0
4,71,1,learn,56,15,15B,1,B,1,B,1
4,72,1,learn,57,10,10A,0,A,1,B,0
