id,trial,condition,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct
4,230,4,1,6,square-blue,0,x,1,y,0
4,231,4,2,3,circle-blue,1,y,1,y,1
4,232,4,3,6,square-blue,1,y,1,y,1
4,233,4,4,7,triangle-red,0,x,1,y,0
4,234,4,5,2,circle-green,0,x,1,y,0
4,235,4,6,7,triangle-red,1,y,1,y,1
4,236,4,7,8,triangle-green,1,y,1,y,1
4,237,4,8,3,circle-blue,1,y,1,y,1
4,238,4,9,2,circle-green,1,y,1,y,1
4,239,4,10,9,triangle-blue,1,y,0,x,0
4,240,4,11,4,square-red,1,y,1,y,1
4,241,4,12,1,circle-red,1,y,0,x,0
4,242,4,13,5,square-green,1,y,0,x,0
4,243,4,14,7,triangle-red,1,y,1,y,1
4,244,4,15,7,triangle-red,1,y,1,y,1
4,245,4,16,6,square-blue,1,y,1,y,1
4,246,4,17,8,triangle-green,1,y,1,y,1
4,247,4,18,9,triangle-blue,0,x,0,x,1
4,248,4,19,9,triangle-blue,0,x,0,x,1
4,249,4,20,5,square-green,0,x,0,x,1
4,250,4,21,4,square-red,1,y,1,y,1
4,251,4,22,1,circle-red,0,x,0,x,1
4,252,4,23,8,triangle-green,1,y,1,y,1
4,253,4,24,2,circle-green,1,y,1,y,1
4,254,4,25,4,square-red,1,y,1,y,1
4,255,4,26,2,circle-green,1,y,1,y,1
4,256,4,27,8,triangle-green,1,y,1,y,1
4,257,4,28,1,circle-red,0,x,0,x,1
4,258,4,29,5,square-green,0,x,0,x,1
4,259,4,30,5,square-green,0,x,0,x,1
4,260,4,31,9,triangle-blue,0,x,0,x,1
4,261,4,32,1,circle-red,0,x,0,x,1
4,262,4,33,3,circle-blue,1,y,1,y,1
4,263,4,34,6,square-blue,1,y,1,y,1
4,264,4,35,3,circle-blue,1,y,1,y,1
4,265,4,36,4,square-red,1,y,1,y,1
4,266,4,37,8,triangle-green,1,y,1,y,1
4,267,4,38,2,circle-green,1,y,1,y,1
4,268,4,39,1,circle-red,0,x,0,x,1
4,269,4,40,6,square-blue,1,y,1,y,1
4,270,4,41,5,square-green,0,x,0,x,1
4,271,4,42,7,triangle-red,1,y,1,y,1
4,272,4,43,7,triangle-red,1,y,1,y,1
4,273,4,44,9,triangle-blue,0,x,0,x,1
4,274,4,45,4,square-red,1,y,1,y,1
4,275,4,46,8,triangle-green,1,y,1,y,1
4,276,4,47,1,circle-red,0,x,0,x,1
4,277,4,48,6,square-blue,1,y,1,y,1
4,278,4,49,6,square-blue,1,y,1,y,1
15,317,4,1,9,triangle-blue,0,x,0,x,1
15,318,4,2,4,square-red,0,x,1,y,0
15,319,4,3,4,square-red,1,y,1,y,1
15,320,4,4,7,triangle-red,1,y,1,y,1
15,321,4,5,7,triangle-red,1,y,1,y,1
15,322,4,6,7,triangle-red,1,y,1,y,1
15,323,4,7,5,square-green,0,x,0,x,1
15,324,4,8,6,square-blue,0,x,1,y,0
15,325,4,9,8,triangle-green,0,x,1,y,0
15,326,4,10,4,square-red,1,y,1,y,1
15,327,4,11,5,square-green,1,y,0,x,0
15,328,4,12,9,triangle-blue,0,x,0,x,1
15,329,4,13,3,circle-blue,0,x,1,y,0
15,330,4,14,6,square-blue,0,x,1,y,0
15,331,4,15,4,square-red,1,y,1,y,1
15,332,4,16,6,square-blue,1,y,1,y,1
15,333,4,17,2,circle-green,1,y,1,y,1
15,334,4,18,8,triangle-green,0,x,1,y,0
15,335,4,19,1,circle-red,1,y,0,x,0
15,336,4,20,1,circle-red,0,x,0,x,1
15,337,4,21,8,triangle-green,1,y,1,y,1
15,338,4,22,2,circle-green,0,x,1,y,0
15,339,4,23,6,square-blue,0,x,1,y,0
15,340,4,24,5,square-green,1,y,0,x,0
15,341,4,25,1,circle-red,1,y,0,x,0
15,342,4,26,3,circle-blue,1,y,1,y,1
15,343,4,27,8,triangle-green,1,y,1,y,1
15,344,4,28,2,circle-green,1,y,1,y,1
15,345,4,29,3,circle-blue,1,y,1,y,1
15,346,4,30,5,square-green,1,y,0,x,0
15,347,4,31,1,circle-red,0,x,0,x,1
15,348,4,32,9,triangle-blue,1,y,0,x,0
15,349,4,33,7,triangle-red,1,y,1,y,1
15,350,4,34,3,circle-blue,1,y,1,y,1
15,351,4,35,9,triangle-blue,0,x,0,x,1
15,352,4,36,2,circle-green,1,y,1,y,1
15,353,4,37,7,triangle-red,1,y,1,y,1
15,354,4,38,1,circle-red,0,x,0,x,1
15,355,4,39,9,triangle-blue,0,x,0,x,1
15,356,4,40,4,square-red,1,y,1,y,1
15,357,4,41,1,circle-red,0,x,0,x,1
15,358,4,42,4,square-red,1,y,1,y,1
15,359,4,43,3,circle-blue,1,y,1,y,1
15,360,4,44,5,square-green,0,x,0,x,1
15,361,4,45,8,triangle-green,1,y,1,y,1
15,362,4,46,8,triangle-green,1,y,1,y,1
15,363,4,47,6,square-blue,1,y,1,y,1
15,364,4,48,1,circle-red,0,x,0,x,1
15,365,4,49,9,triangle-blue,0,x,0,x,1
15,366,4,50,6,square-blue,1,y,1,y,1
15,367,4,51,2,circle-green,1,y,1,y,1
15,368,4,52,2,circle-green,1,y,1,y,1
15,369,4,53,3,circle-blue,1,y,1,y,1
15,370,4,54,3,circle-blue,1,y,1,y,1
15,371,4,55,7,triangle-red,1,y,1,y,1
15,372,4,56,9,triangle-blue,0,x,0,x,1
15,373,4,57,6,square-blue,1,y,1,y,1
15,374,4,58,2,circle-green,1,y,1,y,1
15,375,4,59,7,triangle-red,1,y,1,y,1
15,376,4,60,5,square-green,0,x,0,x,1
15,377,4,61,4,square-red,1,y,1,y,1
15,378,4,62,6,square-blue,1,y,1,y,1
15,379,4,63,7,triangle-red,1,y,1,y,1
15,380,4,64,8,triangle-green,1,y,1,y,1
15,381,4,65,8,triangle-green,1,y,1,y,1
15,382,4,66,4,square-red,1,y,1,y,1
15,383,4,67,5,square-green,0,x,0,x,1
15,384,4,68,5,square-green,0,x,0,x,1
10,233,4,1,2,circle-green,0,x,1,y,0
10,234,4,2,5,square-green,1,y,0,x,0
10,235,4,3,5,square-green,0,x,0,x,1
10,236,4,4,6,square-blue,0,x,1,y,0
10,237,4,5,1,circle-red,0,x,0,x,1
10,238,4,6,2,circle-green,0,x,1,y,0
10,239,4,7,5,square-green,0,x,0,x,1
10,240,4,8,1,circle-red,1,y,0,x,0
10,241,4,9,3,circle-blue,0,x,1,y,0
10,242,4,10,8,triangle-green,0,x,1,y,0
10,243,4,11,3,circle-blue,0,x,1,y,0
10,244,4,12,9,triangle-blue,0,x,0,x,1
10,245,4,13,4,square-red,0,x,1,y,0
10,246,4,14,7,triangle-red,1,y,1,y,1
10,247,4,15,6,square-blue,0,x,1,y,0
10,248,4,16,4,square-red,0,x,1,y,0
10,249,4,17,6,square-blue,1,y,1,y,1
10,250,4,18,3,circle-blue,0,x,1,y,0
10,251,4,19,3,circle-blue,1,y,1,y,1
10,252,4,20,2,circle-green,1,y,1,y,1
10,253,4,21,9,triangle-blue,0,x,0,x,1
10,254,4,22,1,circle-red,1,y,0,x,0
10,255,4,23,4,square-red,1,y,1,y,1
10,256,4,24,7,triangle-red,1,y,1,y,1
10,257,4,25,7,triangle-red,1,y,1,y,1
10,258,4,26,6,square-blue,1,y,1,y,1
10,259,4,27,9,triangle-blue,1,y,0,x,0
10,260,4,28,7,triangle-red,1,y,1,y,1
10,261,4,29,4,square-red,1,y,1,y,1
10,262,4,30,8,triangle-green,1,y,1,y,1
10,263,4,31,8,triangle-green,1,y,1,y,1
10,264,4,32,1,circle-red,1,y,0,x,0
10,265,4,33,9,triangle-blue,0,x,0,x,1
10,266,4,34,8,triangle-green,1,y,1,y,1
