id,trial,condition,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct
1,268,4,1,3,circle-blue,1,y,1,y,1
1,269,4,2,7,triangle-red,1,y,1,y,1
1,270,4,3,3,circle-blue,1,y,1,y,1
1,271,4,4,7,triangle-red,1,y,1,y,1
1,272,4,5,1,circle-red,1,y,0,x,0
1,273,4,6,7,triangle-red,1,y,1,y,1
1,274,4,7,1,circle-red,0,x,0,x,1
1,275,4,8,8,triangle-green,1,y,1,y,1
1,276,4,9,9,triangle-blue,1,y,0,y,0
1,277,4,10,9,triangle-blue,0,x,0,x,1
1,278,4,11,6,square-blue,1,y,1,y,1
1,279,4,12,9,triangle-blue,0,x,0,x,1
1,280,4,13,9,triangle-blue,0,x,0,x,1
1,281,4,14,2,circle-green,1,y,1,y,1
1,282,4,15,4,square-red,1,y,1,y,1
1,283,4,16,2,circle-green,1,y,1,y,1
1,284,4,17,6,square-blue,1,y,1,y,1
1,285,4,18,1,circle-red,0,x,0,x,1
1,286,4,19,8,triangle-green,1,y,1,y,1
1,287,4,20,4,square-red,1,y,1,y,1
1,288,4,21,2,circle-green,1,y,1,y,1
1,289,4,22,5,square-green,1,y,0,y,0
1,290,4,23,5,square-green,0,x,0,x,1
1,291,4,24,1,circle-red,0,x,0,x,1
1,292,4,25,8,triangle-green,1,y,1,y,1
1,293,4,26,7,triangle-red,1,y,1,y,1
1,294,4,27,2,circle-green,1,y,1,y,1
1,295,4,28,4,square-red,1,y,1,y,1
1,296,4,29,3,circle-blue,1,y,1,y,1
1,297,4,30,8,triangle-green,1,y,1,y,1
1,298,4,31,5,square-green,0,x,0,x,1
1,299,4,32,4,square-red,1,y,1,y,1
1,300,4,33,6,square-blue,1,y,1,y,1
1,301,4,34,6,square-blue,1,y,1,y,1
1,302,4,35,3,circle-blue,1,y,1,y,1
1,303,4,36,5,square-green,0,x,0,x,1
1,304,4,37,1,circle-red,0,x,0,x,1
1,305,4,38,8,triangle-green,1,y,1,y,1
1,306,4,39,4,square-red,0,x,1,x,0
1,307,4,40,9,triangle-blue,1,y,0,x,0
1,308,4,41,7,triangle-red,1,y,1,y,1
1,309,4,42,9,triangle-blue,1,y,0,y,0
1,310,4,43,4,square-red,0,x,1,y,0
1,311,4,44,1,circle-red,0,x,0,x,1
1,312,4,45,5,square-green,1,y,0,y,0
1,313,4,46,6,square-blue,0,x,1,x,0
1,314,4,47,6,square-blue,1,y,1,y,1
1,315,4,48,8,triangle-green,0,x,1,x,0
1,316,4,49,2,circle-green,1,y,1,y,1
1,317,4,50,2,circle-green,1,y,1,y,1
1,318,4,51,2,circle-green,1,y,1,y,1
1,319,4,52,4,square-red,0,x,1,x,0
1,320,4,53,3,circle-blue,1,y,1,y,1
1,321,4,54,7,triangle-red,1,y,1,y,1
1,322,4,55,3,circle-blue,0,x,1,x,0
1,323,4,56,7,triangle-red,1,y,1,y,1
1,324,4,57,5,square-green,1,y,0,y,0
1,325,4,58,5,square-green,0,x,0,x,1
1,326,4,59,5,square-green,0,x,0,x,1
1,327,4,60,8,triangle-green,1,y,1,y,1
1,328,4,61,6,square-blue,1,y,1,y,1
1,329,4,62,6,square-blue,1,y,1,y,1
1,330,4,63,3,circle-blue,1,y,1,y,1
1,331,4,64,9,triangle-blue,0,x,0,x,1
1,332,4,65,9,triangle-blue,0,x,0,x,1
1,333,4,66,1,circle-red,0,x,0,x,1
1,334,4,67,2,circle-green,1,y,1,y,1
1,335,4,68,1,circle-red,0,x,0,x,1
1,336,4,69,7,triangle-red,1,y,1,y,1
1,337,4,70,8,triangle-green,1,y,1,y,1
1,338,4,71,4,square-red,1,y,1,y,1
1,339,4,72,3,circle-blue,1,y,1,y,1
1,340,4,73,4,square-red,1,y,1,y,1
1,341,4,74,3,circle-blue,1,y,1,y,1
1,342,4,75,8,triangle-green,1,y,1,y,1
1,343,4,76,7,triangle-red,1,y,1,y,1
1,344,4,77,2,circle-green,1,y,1,y,1
1,345,4,78,6,square-blue,0,x,1,x,0
1,346,4,79,7,triangle-red,1,y,1,y,1
1,347,4,80,8,triangle-green,1,y,1,y,1
1,348,4,81,5,square-green,0,x,0,x,1
1,349,4,82,4,square-red,1,y,1,y,1
1,350,4,83,6,square-blue,1,y,1,y,1
1,351,4,84,1,circle-red,0,x,0,x,1
1,352,4,85,9,triangle-blue,0,x,0,x,1
1,353,4,86,9,triangle-blue,0,x,0,x,1
1,354,4,87,1,circle-red,0,x,0,x,1
1,355,4,88,5,square-green,0,x,0,x,1
1,356,4,89,1,circle-red,0,x,0,x,1
1,357,4,90,8,triangle-green,1,y,1,y,1
1,358,4,91,1,circle-red,0,x,0,x,1
1,359,4,92,9,triangle-blue,0,x,0,x,1
1,360,4,93,3,circle-blue,1,y,1,y,1
1,361,4,94,5,square-green,0,x,0,x,1
1,362,4,95,6,square-blue,1,y,1,y,1
1,363,4,96,2,circle-green,1,y,1,y,1
1,364,4,97,2,circle-green,1,y,1,y,1
1,365,4,98,7,triangle-red,1,y,1,y,1
1,366,4,99,4,square-red,1,y,1,y,1
1,367,4,100,7,triangle-red,1,y,1,y,1
1,368,4,101,9,triangle-blue,0,x,0,x,1
1,369,4,102,5,square-green,0,x,0,x,1
1,370,4,103,3,circle-blue,1,y,1,y,1
1,371,4,104,4,square-red,1,y,1,y,1
1,372,4,105,8,triangle-green,1,y,1,y,1
1,373,4,106,3,circle-blue,1,y,1,y,1
1,374,4,107,2,circle-green,1,y,1,y,1
1,375,4,108,6,square-blue,1,y,1,y,1
1,376,4,109,8,triangle-green,1,y,1,y,1
1,377,4,110,1,circle-red,0,x,0,x,1
1,378,4,111,5,square-green,1,y,0,x,0
1,379,4,112,3,circle-blue,1,y,1,y,1
1,380,4,113,3,circle-blue,1,y,1,y,1
1,381,4,114,2,circle-green,1,y,1,y,1
1,382,4,115,9,triangle-blue,0,x,0,x,1
1,383,4,116,4,square-red,1,y,1,y,1
1,384,4,117,7,triangle-red,1,y,1,y,1
1,385,4,118,5,square-green,0,x,0,x,1
1,386,4,119,4,square-red,1,y,1,y,1
1,387,4,120,1,circle-red,0,x,0,x,1
1,388,4,121,6,square-blue,1,y,1,y,1
1,389,4,122,8,triangle-green,1,y,1,y,1
1,390,4,123,6,square-blue,1,y,1,y,1
1,391,4,124,9,triangle-blue,0,x,0,x,1
1,392,4,125,9,triangle-blue,0,x,0,x,1
1,393,4,126,8,triangle-green,1,y,1,y,1
1,394,4,127,2,circle-green,1,y,1,y,1
1,395,4,128,7,triangle-red,1,y,1,y,1
1,396,4,129,7,triangle-red,1,y,1,y,1
1,397,4,130,2,circle-green,1,y,1,y,1
1,398,4,131,5,square-green,0,x,0,x,1
1,399,4,132,3,circle-blue,1,y,1,y,1
1,400,4,133,7,triangle-red,1,y,1,y,1
1,401,4,134,9,triangle-blue,0,x,0,x,1
1,402,4,135,4,square-red,1,y,1,y,1
1,403,4,136,6,square-blue,1,y,1,y,1
1,404,4,137,3,circle-blue,1,y,1,y,1
1,405,4,138,1,circle-red,0,x,0,x,1
1,406,4,139,5,square-green,0,x,0,x,1
1,407,4,140,1,circle-red,0,x,0,x,1
1,408,4,141,2,circle-green,1,y,1,y,1
1,409,4,142,8,triangle-green,1,y,1,y,1
